#   Step          Temp          Press            Lx             Ly             Lz             Xy             Xz             Yz      
    237000   300.67411     -133.50771      93.284462      38.012941      41.511725      0              0              0            
    238000   300.03143     -530.07024      93.217284      37.985566      41.481831      0              0              0            
    239000   299.75337      272.333        93.277845      38.010244      41.508781      0              0              0            
    240000   298.39478      720.61414      93.212817      37.983746      41.479843      0              0              0            
    241000   299.31917     -65.905134      93.241831      37.995569      41.492754      0              0              0            
    242000   300.96844     -788.96426      93.338796      38.035082      41.535904      0              0              0            
    243000   299.09709     -199.37436      93.287983      38.014376      41.513292      0              0              0            
    244000   302.24897      444.96802      93.294568      38.017059      41.516223      0              0              0            
    245000   302.58251      281.26893      93.275538      38.009305      41.507754      0              0              0            
    246000   299.47017      436.088        93.185288      37.972528      41.467592      0              0              0            
    247000   304.11492     -625.54817      93.327414      38.030443      41.530839      0              0              0            
    248000   298.44473      591.29379      93.272488      38.008062      41.506397      0              0              0            
    249000   297.62579     -409.46241      93.257461      38.001938      41.49971       0              0              0            
    250000   298.81198     -489.89879      93.342685      38.036666      41.537635      0              0              0            
    251000   301.93532     -175.14833      93.236941      37.993576      41.490578      0              0              0            
    252000   297.77471      740.0237       93.310853      38.023695      41.523469      0              0              0            
    253000   298.27608     -386.97534      93.358779      38.043225      41.544797      0              0              0            
    254000   302.17674     -253.99977      93.357321      38.04263       41.544148      0              0              0            
    255000   298.26379     -120.75009      93.339876      38.035522      41.536385      0              0              0            
    256000   305.97397      438.42358      93.36333       38.045079      41.546822      0              0              0            
    257000   296.91024     -167.01336      93.325205      38.029543      41.529856      0              0              0            
    258000   301.64593      396.77346      93.255621      38.001188      41.498891      0              0              0            
    259000   296.63699      228.58794      93.336422      38.034114      41.534848      0              0              0            
    260000   299.96321     -619.30751      93.312309      38.024288      41.524117      0              0              0            
    261000   296.75363      174.85712      93.244584      37.996691      41.49398       0              0              0            
    262000   302.06495     -478.45376      93.335094      38.033573      41.534256      0              0              0            
    263000   298.39675      109.80242      93.298668      38.01873       41.518047      0              0              0            
    264000   299.32505      67.245181      93.384125      38.053553      41.556076      0              0              0            
    265000   300.11533     -631.13588      93.255748      38.00124       41.498948      0              0              0            
    266000   298.33653     -201.94538      93.28968       38.015067      41.514047      0              0              0            
    267000   301.56556     -237.47306      93.26916       38.006705      41.504916      0              0              0            
    268000   301.4971      -318.54971      93.340223      38.035663      41.536539      0              0              0            
    269000   298.80282     -295.20406      93.399696      38.059898      41.563005      0              0              0            
    270000   301.54764      96.122349      93.387398      38.054887      41.557532      0              0              0            
    271000   300.43809      404.15736      93.26455       38.004827      41.502864      0              0              0            
    272000   299.45408      704.12233      93.285276      38.013273      41.512088      0              0              0            
    273000   298.20605      300.76192      93.354788      38.041598      41.543021      0              0              0            
    274000   300.23471     -1.4623829      93.395263      38.058092      41.561032      0              0              0            
    275000   302.57484      208.47963      93.311683      38.024033      41.523839      0              0              0            
    276000   300.1582      -698.19536      93.333243      38.032819      41.533433      0              0              0            
    277000   297.07107      465.49704      93.340259      38.035678      41.536555      0              0              0            
    278000   300.23703     -215.47336      93.374918      38.049801      41.551978      0              0              0            
    279000   300.81016     -593.7094       93.307928      38.022503      41.522168      0              0              0            
    280000   302.42084     -232.83347      93.323015      38.028651      41.528881      0              0              0            
    281000   303.52093     -135.3433       93.357478      38.042694      41.544217      0              0              0            
    282000   299.07906     -257.58663      93.403521      38.061457      41.564707      0              0              0            
    283000   297.94086     -1246.597       93.314087      38.025013      41.524909      0              0              0            
    284000   302.31023      756.01275      93.285796      38.013484      41.512319      0              0              0            
    285000   299.88558      659.16381      93.282929      38.012316      41.511043      0              0              0            
